"Year.x","Year.y","Year.x.x","Year.y.y","Year.x.x.x","Year.y.y.y","Year.x.x.x.x","Year.y.y.y.y","Year.x.x.x.x.x","Year.y.y.y.y.y","State","Year","Kilograms of Co2 per MWh"
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2017",345
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2018",351
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2019",309
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2020",309
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2021",295
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2022",292
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2023",270
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2013",908
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2014",908
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2015",917
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2016",902
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2017",886
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2018",895
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2019",889
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2020",874
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2021",879
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2022",889
